idFormer;forLastname;forFirstName;forLocation;forEmail;forPhoneNumber;forProfession;forAVSNumber
1;Onizuka;Eikichi;Av. du Rond-Point 18, 1006 Lausanne;onizuka.eikichi@kissho.jp;076 456 15 91;Enseignant en éducation civique;756.4917.2391.45
2;Fuyutsuki;Azusa;Av. de Sébeillon 12, 1004 Lausanne;fuyutsuki.azusa@kissho.jp;078 656 28 75;Enseignante en japonais;756.3571.6524.62
3;Girardet;Alain;Rte. De Divonne 38, 1260 Nyon;alain.girardet@vd.educanet2.ch;076 615 11 51;Enseignant en web;756.1673.4976.15
4;Mveng;Antoine;Av. de la Gare 2, 1315 la Sarraz;antoine.mveng@vd.educanet2.ch;079 451 47 27;Enseignant en sécurité informatique;756.1376.9157.64
5;Salulessa;Salulessa;Ch. Du Perdu 88, 8888 Akahia;salulessa.salulessa@excuse.educanet2.ch;079 465 64 50;Enseignant en anglais;756.8888.8888.88
6;Desgraz;Jean-Luc;Rte. Du Chalet-à-Gobet 9, 1055 Froideville;jeanluc.desgraz@vd.educanet2.ch;078 861 65 70;Enseignant en electronique;756.1011.1000.00
7;Jaggi;Jean-Christophe;Ave. Du Mont d'or 42, 1007 Lausanne;jeanchristophe.jaggi@vd.educanet2.ch;079 617 96 92;Enseignant en mathématique;756.3141.5926.53
8;Gruaz;Gilbert;Ch. Des Jonquilles 8, 1134 Vufflens-le-Château;gilbert.gruaz@vd.educanet2.ch;079 338 78 08;Enseignant en bureautique;756.3685.4852.64
9;Patrick;Ollivier;Rte. De Cossonay 15, 1040 Echallens;ollivier.patrick@vd.educanet2.ch;079 705 29 81;Enseignant en téléphonie;756.2015.2016.14
10;Uwamungu;Bernard;Rte. De Chavannes 143, 1007 Lausanne;bernard.uwamungu@vd.educanet2.ch;079 625 13 29;Enseignant en français;756.1011.1000.10
